archivo,titulo,autor,licencia,px,bytes,fuente,pagina
palma_aceite_rio.jpg,Drone aerial photo of oil palm plantation by river,DrLianPinKoh,by 2.0,1024x768,253055,flickr,https://www.flickr.com/photos/34673037@N04/7044645415
palma_joven_suelo.jpg,Living Planet Report 2010,WWF Deutschland,by-nc-sa 2.0,1024x683,358293,flickr,https://www.flickr.com/photos/38732656@N02/5078052492
palma_dosel.jpg,DRONE-0499,unredd.photo,by-nc 2.0,1024x576,286196,flickr,https://www.flickr.com/photos/129189197@N06/53181469942
huerto_hileras_usda.jpg,20190508-OSEC-LSC-0157,USDAgov,pdm 1.0,1024x767,420628,flickr,https://www.flickr.com/photos/41284017@N08/46948254145
huerto_surcos_usda.jpg,20190508-OSEC-LSC-0117,USDAgov,pdm 1.0,683x1024,366294,flickr,https://www.flickr.com/photos/41284017@N08/47074989824
huerto_reticula_usda.jpg,20190508-OSEC-LSC-0185,USDAgov,pdm 1.0,1024x683,398095,flickr,https://www.flickr.com/photos/41284017@N08/46948253625
huerto_camino_usda.jpg,20190508-OSEC-LSC-0166,USDAgov,pdm 1.0,1024x767,389904,flickr,https://www.flickr.com/photos/41284017@N08/46948253945
campo_curvas_nivel.jpg,"AERIAL PHOTOGRAPH OF FARMLAND WITHIN A 15-MILE RADIUS OF NEW ULM, MINNESOTA, A COUNTY",Flip Schulke,Public domain,3000x2028,253314,wikimedia,"https://commons.wikimedia.org/wiki/File:AERIAL_PHOTOGRAPH_OF_FARMLAND_WITHIN_A_15-MILE_RADIUS_OF_NEW_ULM,_MINNESOTA,_A_COUNTY_SEAT_TRADING_CENTER_OF_13,000..._-_NARA_-_558414.jpg"
cultivo_hileras_wisconsin.jpg,"Aerial view of crops, Random Lake, Wisconsin, US julesvernex2-2.jpg",Jules Verne Times Two,CC BY-SA 4.0,7524x5783,253314,wikimedia,"https://commons.wikimedia.org/wiki/File:Aerial_view_of_crops,_Random_Lake,_Wisconsin,_US_julesvernex2-2.jpg"
musa_bangladesh.jpg,Aerial view of a banana plantation in Bangladesh.jpg,The Roving Rokibul,CC BY-SA 4.0,8064x6048,253314,wikimedia,https://commons.wikimedia.org/wiki/File:Aerial_view_of_a_banana_plantation_in_Bangladesh.jpg
arrozal_terrazas.jpg,"Birds eye view of a paddy field near Bhutiachang, Udalguri District.jpg",GPhoto15,CC BY 4.0,3001x2000,253314,wikimedia,"https://commons.wikimedia.org/wiki/File:Birds_eye_view_of_a_paddy_field_near_Bhutiachang,_Udalguri_District.jpg"
